#OTU ID	10-3-C1	10-3-C2	10-3-C3	10-3-Ch1	10-3-Ch2	10-3-Ch3	10-C1-1	10-C1-2	10-C1-6	10-C2-1	10-C2-4	10-C2-5	10-C3-2	10-C3-3	10-C3-4	10-Ch1-1	10-Ch1-2	10-Ch1-3	10-Ch1-4	10-Ch3-1	10-Ch3-2	10-Ch3-3	10-Ch3-4	10-Ch3-5	16-3-C1	16-3-C2	16-3-C3	16-3-Ch1	16-3-Ch2	16-3-Ch3	16-C1-4	16-C1-5	16-C1-8	16-C2-10	16-C2-5	16-C2-8	16-C3-2	16-C3-3	16-C3-7	16-Ch1-4	16-Ch1-5	16-Ch1-9	16-Ch2-2	16-Ch2-6	16-Ch2-8	16-Ch3-2	16-Ch3-4	16-Ch3-6	21-C1-Ch-1	21-C1-Ch-2	21-C1-Ch-3	21-C2-Ch-1	21-C2-Ch-3	21-C2-Ch-6	21-C3-Ch-1	21-C3-Ch-4	21-C3-Ch-5	21-Ch1-1	21-Ch1-3	21-Ch1-6	21-Ch2-3	21-Ch2-4	21-Ch2-6	21-Ch3-1	21-Ch3-4	21-Ch3-5	22-C2-Ch-1	22-C2-Ch-2	22-C2-Ch-3	22-C3-Ch-1	22-C3-Ch-2	22-C3-Ch-3	22-C3-Ch-4	22-Ch1-1	22-Ch1-2	22-Ch1-3	22-Ch2-1	22-Ch2-2	22-Ch2-3	22-Ch3-3	22-Ch3-5	22-Ch3-6	28-2-SP	NB-1	NB-2	NB-4	NB-6	NB-8	NB-9	PC-1	PC-2
0d20210b3d43a51740d5930e194316ba	1509	1702	3183	4072	5206	4543	1883	4130	187	3765	5100	942	7596	819	1861	5755	510	5573	5284	2356	5722	1648	0	1455	5530	8192	5852	2552	6409	3167	7202	160	66	11065	5639	7437	6069	4825	6187	1200	8854	8500	3991	800	7611	2479	6573	2724	6230	4716	6762	200	11345	4342	8514	8782	10490	8154	4821	5034	5206	6580	4193	4117	11167	5962	8015	9530	4485	4295	11869	6797	7232	5745	11390	6716	5093	6748	6586	4133	11657	5918	0	49	0	75	0	0	28	38	73
ebe1dd28c28663b7b5b75ffead043bb3	846	1198	2086	2314	3192	2785	1189	2863	136	2211	3959	783	5343	647	1175	4493	328	3585	3660	1509	3263	1146	0	814	3282	5416	4027	1437	4121	2277	5074	75	39	7445	4419	4845	4405	3167	4510	696	5823	5838	2982	583	5186	1623	4652	2183	4427	3503	5088	128	7341	3039	5648	6581	6493	4774	3171	3143	3585	4576	3242	2813	7422	3725	5216	6914	2689	2908	8265	4963	5042	4381	6923	4275	3836	4926	4346	2406	5931	4344	0	0	0	0	40	0	0	0	0
b8a6fbf1ed99f426dbe46f681e0761d3	681	785	1442	1805	2440	2060	844	2120	82	1846	2743	546	3515	445	907	3057	229	2484	2457	1071	2554	898	0	627	2620	4019	3050	1102	2993	1639	3664	68	43	5524	3031	3523	3081	2393	3240	552	4310	3987	2012	364	3930	1214	3190	1502	3142	2571	3408	118	5391	2149	4102	4618	4913	3732	2348	2579	2705	3155	2191	2163	5483	2796	4009	4730	2082	2184	6000	3546	3831	3048	5270	3165	2723	3483	3159	1858	4934	2980	0	0	0	0	0	0	0	0	0
3c5d9b20e9a98d905cfe0360cd7e1a7a	2057	800	1254	1119	1187	1466	1448	1428	1017	993	761	1154	1587	893	1611	1020	1393	908	1033	1038	2107	2160	1048	1660	728	1276	1159	655	856	682	1249	1174	1531	1581	780	1163	1232	1027	1108	1110	910	806	698	1041	1668	662	985	234	1101	644	667	1317	1726	1013	466	1380	1123	712	436	768	649	665	575	433	1251	1215	991	1281	967	807	1471	1277	1129	855	732	1032	1961	793	706	569	1321	793	2141	262	3253	2277	26	350	4588	0	60
31f92f07497961af7111dc95ddc379df	1187	570	869	663	727	885	886	1047	577	590	624	894	1091	686	1136	746	755	664	698	659	1117	1581	739	940	465	962	829	339	508	501	905	707	945	1085	547	753	958	663	804	764	634	544	488	787	1093	397	789	192	757	473	531	910	1141	770	316	972	789	497	331	457	524	466	514	297	884	744	604	994	624	531	1067	873	804	618	440	761	1558	532	495	406	724	621	1252	171	1886	1452	0	224	2952	0	0
eb5e7d6ba5d4088b71e22f30aa162727	354	364	579	655	515	992	350	1122	656	997	607	631	1237	104	776	754	562	699	699	831	2139	876	317	771	1337	801	562	1232	1044	660	1165	469	833	672	467	1430	681	545	546	818	1554	1574	714	978	1099	526	584	686	1094	1310	1588	1671	1840	1308	1713	1633	2535	1616	1450	1431	1191	951	1030	1618	1188	1456	2018	1142	1033	1194	1223	1182	1509	724	1194	1171	1628	1638	2242	1497	1611	562	427	500	245	294	0	462	364	25	0
e24b36f8ee107889f67c1c17e9acd76f	1978	1403	1409	2490	1628	3241	1123	1510	995	2174	1874	1199	2058	762	1208	1058	1310	1798	863	562	1795	991	1577	1507	2779	1415	1666	1987	1762	1122	1776	1811	564	1634	734	2539	1043	1447	908	1697	2074	1818	970	925	2933	1520	838	1682	927	818	974	1085	647	936	899	1777	1042	866	2610	2091	771	337	1620	972	805	1382	478	355	1146	583	1398	758	1944	1467	2549	1796	1859	1292	1029	1218	3945	1112	0	0	0	0	19	0	0	0	0
8c4b22ae53f97faae5060fc2b05c8670	1117	589	1077	934	1188	1769	1189	1371	1569	683	994	1472	1172	1144	1578	1119	1849	817	1014	578	906	1608	1509	1949	899	873	1434	860	509	624	1185	1658	1017	1374	654	1361	776	969	892	1315	1464	1286	564	1102	939	472	1179	380	785	495	736	882	840	927	1177	1193	1096	1525	884	466	544	623	314	655	1068	916	1034	889	1106	490	1312	682	1406	651	409	558	417	632	594	233	335	549	1988	394	2711	2733	0	1244	2804	0	0
be35e88ef0297398f9c1d9ff011fbce5	1002	443	639	448	508	656	583	766	430	504	461	619	842	464	780	470	624	395	511	441	958	1086	531	742	342	621	594	308	375	343	616	512	656	744	386	557	613	516	543	573	414	387	325	543	816	328	511	110	534	348	371	664	849	540	220	720	552	341	246	370	330	361	330	213	582	605	440	707	456	352	751	600	576	417	339	455	1024	325	348	250	599	362	943	107	1463	1111	0	182	2168	0	0
66915f9b0c26e0591a3c4a84cbbe1287	763	790	1002	2932	832	3059	1073	578	82	860	933	176	593	660	1518	205	149	229	1379	1829	1023	2692	1180	402	14	834	2067	1438	193	2021	0	0	7	2435	735	2095	2336	2686	564	475	839	1738	368	116	432	327	452	3595	0	0	0	98	1791	668	1229	781	3066	70	118	189	0	0	0	650	500	0	1087	1005	808	155	240	2051	844	5	27	84	7	0	0	5360	6514	494	1002	0	879	0	3815	175	635	0	16
cef65fb10c9bfcd17ac3921448fcb219	605	455	822	389	332	459	534	670	954	1999	848	775	622	207	816	491	489	437	917	695	418	1405	226	424	753	451	665	1936	508	416	817	904	1315	451	92	595	1224	467	523	790	1216	1233	384	412	501	301	1028	447	304	329	532	563	588	1724	960	588	881	2629	958	1488	489	802	177	1124	1720	657	1482	1553	903	459	1115	521	735	870	867	565	533	1073	511	752	320	1104	453	4415	740	3200	42	622	249	0	0
1e4178233cf9bcb3ecdb9d0dc3d61619	1864	668	753	166	1169	720	490	914	67	710	687	868	1740	621	418	122	438	598	450	0	557	75	852	282	2186	1318	550	2111	918	181	747	1608	665	817	833	390	207	294	216	477	342	517	650	1217	720	465	612	598	854	1169	1283	910	527	591	502	1454	1121	515	1703	1600	909	259	1968	194	1182	1457	421	712	223	137	181	561	249	486	1168	1399	1092	708	663	862	378	688	0	0	0	0	0	0	0	0	0
1d9afe3dfc5d4f1989e4b04f78ca2527	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	70	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0
5a1369843a259766fd39e09070ced9bb	1051	692	737	1175	806	1760	645	797	441	1201	982	629	1086	346	677	536	676	852	386	275	986	538	829	767	1426	798	764	1017	963	615	963	959	283	866	381	1371	515	814	450	808	970	1038	534	506	1725	835	388	917	455	392	571	543	407	488	427	856	538	447	1262	1286	356	209	868	527	446	715	181	173	553	287	729	422	1012	742	1474	931	1045	692	559	667	2205	603	0	0	0	0	0	0	0	0	0
b87767542cc8bedc5d3b3e11f5a11fd4	1116	765	725	1282	848	1729	582	873	398	1178	955	668	1044	321	616	596	734	895	441	275	998	513	774	760	1434	772	793	1141	926	575	969	866	271	911	398	1421	508	725	505	822	1123	921	524	429	1475	823	389	947	478	373	581	538	420	538	407	970	497	473	1298	1098	363	175	887	476	469	707	246	180	535	328	742	442	968	768	1404	980	1025	682	518	638	1932	622	129	0	0	0	0	0	0	0	0
e5dde8f9b57e1fd660f9120c2b8eb333	301	448	738	332	475	476	302	450	252	750	311	180	510	200	212	552	253	872	362	450	665	405	208	175	443	494	543	287	562	428	304	175	164	606	407	711	1425	454	387	125	239	162	531	753	953	370	242	97	558	467	561	258	236	201	180	552	409	409	453	542	681	336	575	652	667	1243	110	271	205	195	147	229	120	215	285	403	992	459	344	375	701	554	1473	7795	258	1444	11294	182	61	0	0
3d086fab5392b05a1ecd6ed9f05f8521	763	492	582	951	857	1837	1600	1785	404	948	622	2584	654	1010	2244	457	369	587	1526	704	198	1700	383	184	945	305	892	61	88	186	377	138	328	0	0	90	86	462	181	871	760	0	0	0	609	370	763	720	870	107	447	2488	519	0	930	881	602	247	81	180	0	85	260	158	923	671	85	74	0	338	734	608	515	233	1187	383	961	245	1002	53	83	204	32	0	0	0	0	0	0	0	0
a322f2a3c3de4bac71f9d74ece5a1036	409	731	1085	2351	681	2226	544	887	485	1168	551	587	1194	48	709	438	960	866	651	780	3514	1867	617	1937	1402	271	434	1237	256	452	496	59	0	66	36	579	18	298	230	161	255	356	57	1681	580	65	162	184	0	21	146	208	103	0	111	135	214	801	214	516	410	453	327	1406	414	2389	401	228	121	0	106	52	75	281	1109	310	0	389	527	222	80	414	964	0	123	0	620	0	76	0	0
