SampleID	sample	run	treatment	treatment2	sample_type	cage	treatment_cage	date	cycle	treatment_cage	treatment_cycle	treatment_cycle2
X10.3.C1	X10.3.C1	run_one	Control_transfer	Control	microbiome_transfer	cage_1	Control_transfer_cage_1	10_3	cycle_one	Control_cage_1	Control_cycle_1	Control_transfer_to_cycle_2
X10.3.C2	X10.3.C2	run_one	Control_transfer	Control	microbiome_transfer	cage_2	Control_transfer_cage_2	10_3	cycle_one	Control_cage_2	Control_cycle_1	Control_transfer_to_cycle_2
X10.3.C3	X10.3.C3	run_one	Control_transfer	Control	microbiome_transfer	cage_3	Control_transfer_cage_3	10_3	cycle_one	Control_cage_3	Control_cycle_1	Control_transfer_to_cycle_2
X10.3.Ch1	X10.3.Ch1	run_one	Chlorothalonil_transfer	Chlorothalonil	microbiome_transfer	cage_1	Chlorothalonil_transfer_cage_1	10_3	cycle_one	Chlorothalonil_cage_1	Chlorothalonil_cycle_1	Chlorothalonil_transfer_to_cycle_2
X10.3.Ch2	X10.3.Ch2	run_one	Chlorothalonil_transfer	Chlorothalonil	microbiome_transfer	cage_2	Chlorothalonil_transfer_cage_2	10_3	cycle_one	Chlorothalonil_cage_2	Chlorothalonil_cycle_1	Chlorothalonil_transfer_to_cycle_2
X10.3.Ch3	X10.3.Ch3	run_one	Chlorothalonil_transfer	Chlorothalonil	microbiome_transfer	cage_3	Chlorothalonil_transfer_cage_3	10_3	cycle_one	Chlorothalonil_cage_3	Chlorothalonil_cycle_1	Chlorothalonil_transfer_to_cycle_2
X10.C1.1	X10.C1.1	run_one	Control	Control	single_bee	cage_1	Control_cage_1	10_3	cycle_one	Control_cage_1	Control_cycle_1	Control_cycle_2
X10.C1.2	X10.C1.2	run_two	Control	Control	single_bee	cage_1	Control_cage_1	10_3	cycle_one	Control_cage_1	Control_cycle_1	Control_cycle_2
X10.C1.6	X10.C1.6	run_two	Control	Control	single_bee	cage_1	Control_cage_1	10_3	cycle_one	Control_cage_1	Control_cycle_1	Control_cycle_2
X10.C2.1	X10.C2.1	run_two	Control	Control	single_bee	cage_2	Control_cage_2	10_3	cycle_one	Control_cage_2	Control_cycle_1	Control_cycle_2
X10.C2.4	X10.C2.4	run_one	Control	Control	single_bee	cage_2	Control_cage_2	10_3	cycle_one	Control_cage_2	Control_cycle_1	Control_cycle_2
X10.C2.5	X10.C2.5	run_two	Control	Control	single_bee	cage_2	Control_cage_2	10_3	cycle_one	Control_cage_2	Control_cycle_1	Control_cycle_2
X10.C3.2	X10.C3.2	run_two	Control	Control	single_bee	cage_3	Control_cage_3	10_3	cycle_one	Control_cage_3	Control_cycle_1	Control_cycle_2
X10.C3.3	X10.C3.3	run_one	Control	Control	single_bee	cage_3	Control_cage_3	10_3	cycle_one	Control_cage_3	Control_cycle_1	Control_cycle_2
