X-OTU-ID,D0,D1,D2,D3,D4,D5,D6
0d20210b3d43a51740d5930e194316ba,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,uncultured Rhizobiales bacterium
ebe1dd28c28663b7b5b75ffead043bb3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,uncultured Rhizobiales bacterium
b8a6fbf1ed99f426dbe46f681e0761d3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,uncultured Rhizobiales bacterium
3c5d9b20e9a98d905cfe0360cd7e1a7a,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
31f92f07497961af7111dc95ddc379df,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
eb5e7d6ba5d4088b71e22f30aa162727,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus apis
e24b36f8ee107889f67c1c17e9acd76f,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Snodgrassella,NA
8c4b22ae53f97faae5060fc2b05c8670,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
be35e88ef0297398f9c1d9ff011fbce5,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
66915f9b0c26e0591a3c4a84cbbe1287,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,uncultured gamma proteobacterium
cef65fb10c9bfcd17ac3921448fcb219,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus apis
1e4178233cf9bcb3ecdb9d0dc3d61619,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,uncultured gamma proteobacterium
1d9afe3dfc5d4f1989e4b04f78ca2527,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,NA
5a1369843a259766fd39e09070ced9bb,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Snodgrassella,uncultured beta proteobacterium
b87767542cc8bedc5d3b3e11f5a11fd4,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Snodgrassella,uncultured beta proteobacterium
e5dde8f9b57e1fd660f9120c2b8eb333,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helsingborgensis
3d086fab5392b05a1ecd6ed9f05f8521,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,Apis mellifera (honey bee)
a322f2a3c3de4bac71f9d74ece5a1036,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,Apis mellifera (honey bee)
3e2564f5dc33d7a892f53a996055536b,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
3c4f64db9e069bf02f442d197c1b4942,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,uncultured gamma proteobacterium
be84d822b5027a7e5f80196547d24520,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,NA
582c129d7cd6d2c945049bab2e298c3d,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,NA
62b644ea8b4f7d76193cf5c324cfaec8,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus melliventris
423e2698499508b79c35569c211c71ca,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei
920efd77834e9e407bb1450c73739b19,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kullabergensis
baafc91989da7a0cf3b9e1ac57ddbce4,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
d1c960daf128281cdb8d2ab601487087,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
46417f8c2d13b4a7cadbf4c9866ce7fa,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,NA
cabd150ae709573fa418b3c5dc362978,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,NA
10662a7d0e3a03afb37ab6290d343a74,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
aefca18285034e4536f4054548063ece,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
81ba71063271913d53e2d20641f3f96c,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,NA
2ce829fd9aa6d8d11982620618cb053c,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
fab8f81a92e6e4b6d8e79182637c61b7,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,NA
