bee	treatment	group	cage	cage2	alive
bee1	chlorothalonil	control	cage1	control_cage1	1
bee2	chlorothalonil	control	cage1	control_cage1	1
bee3	chlorothalonil	control	cage1	control_cage1	1
bee4	chlorothalonil	control	cage1	control_cage1	1
bee5	chlorothalonil	control	cage1	control_cage1	1
bee6	chlorothalonil	control	cage1	control_cage1	1
bee7	chlorothalonil	control	cage1	control_cage1	1
bee8	chlorothalonil	control	cage1	control_cage1	1
bee9	chlorothalonil	control	cage1	control_cage1	1
bee10	chlorothalonil	control	cage1	control_cage1	1
bee11	chlorothalonil	control	cage1	control_cage1	0
bee12	chlorothalonil	control	cage1	control_cage1	0
bee13	chlorothalonil	control	cage1	control_cage1	0
bee14	chlorothalonil	control	cage1	control_cage1	0
bee15	chlorothalonil	control	cage1	control_cage1	0
bee16	chlorothalonil	control	cage1	control_cage1	0
bee17	chlorothalonil	control	cage2	control_cage2	1
bee18	chlorothalonil	control	cage2	control_cage2	1
bee19	chlorothalonil	control	cage2	control_cage2	1
bee20	chlorothalonil	control	cage2	control_cage2	1
bee21	chlorothalonil	control	cage2	control_cage2	1
bee22	chlorothalonil	control	cage2	control_cage2	1
bee23	chlorothalonil	control	cage2	control_cage2	1
bee24	chlorothalonil	control	cage2	control_cage2	1
bee25	chlorothalonil	control	cage2	control_cage2	1
bee26	chlorothalonil	control	cage2	control_cage2	1
bee33	chlorothalonil	control	cage2	control_cage2	1
bee34	chlorothalonil	control	cage2	control_cage2	1
bee35	chlorothalonil	control	cage2	control_cage2	1
bee36	chlorothalonil	control	cage2	control_cage2	1
bee37	chlorothalonil	control	cage2	control_cage2	0
bee38	chlorothalonil	control	cage2	control_cage2	0
bee39	chlorothalonil	control	cage2	control_cage2	0
bee40	chlorothalonil	control	cage2	control_cage2	0
bee51	chlorothalonil	control	cage2	control_cage2	0
bee52	chlorothalonil	control	cage2	control_cage2	0
bee53	chlorothalonil	control	cage3	control_cage3	1
bee54	chlorothalonil	control	cage3	control_cage3	1
bee55	chlorothalonil	control	cage3	control_cage3	1
bee56	chlorothalonil	control	cage3	control_cage3	1
bee57	chlorothalonil	control	cage3	control_cage3	1
bee58	chlorothalonil	control	cage3	control_cage3	1
bee59	chlorothalonil	control	cage3	control_cage3	1
bee60	chlorothalonil	control	cage3	control_cage3	1
bee61	chlorothalonil	control	cage3	control_cage3	1
bee62	chlorothalonil	control	cage3	control_cage3	1
bee63	chlorothalonil	control	cage3	control_cage3	1
bee64	chlorothalonil	control	cage3	control_cage3	1
bee65	chlorothalonil	control	cage3	control_cage3	1
bee66	chlorothalonil	control	cage3	control_cage3	0
bee67	chlorothalonil	control	cage3	control_cage3	0
bee68	chlorothalonil	control	cage3	control_cage3	0
bee65	chlorothalonil	control	cage3	control_cage3	0
bee66	chlorothalonil	control	cage3	control_cage3	0
bee72	chlorothalonil	control	cage3	control_cage3	0
bee73	chlorothalonil	control	cage3	control_cage3	0
bee74	chlorothalonil	control	cage3	control_cage3	0
