bee	cycle	group	cage	alive
bee1	cycle_one	control	cage1	1
bee2	cycle_one	control	cage1	1
bee3	cycle_one	control	cage1	1
bee4	cycle_one	control	cage1	1
bee5	cycle_one	control	cage1	1
bee6	cycle_one	control	cage1	1
bee7	cycle_one	control	cage1	1
bee8	cycle_one	control	cage1	1
bee9	cycle_one	control	cage1	1
bee10	cycle_one	control	cage1	1
bee11	cycle_one	control	cage1	1
bee12	cycle_one	control	cage1	1
bee13	cycle_one	control	cage1	1
bee14	cycle_one	control	cage1	1
bee15	cycle_one	control	cage1	0
bee16	cycle_one	control	cage1	0
bee17	cycle_one	control	cage1	0
bee18	cycle_one	control	cage2	1
bee19	cycle_one	control	cage2	1
bee20	cycle_one	control	cage2	1
bee21	cycle_one	control	cage2	1
bee22	cycle_one	control	cage2	0
bee23	cycle_one	control	cage2	0
bee24	cycle_one	control	cage2	0
bee25	cycle_one	control	cage2	0
bee26	cycle_one	control	cage2	0
bee27	cycle_one	control	cage2	0
bee28	cycle_one	control	cage2	0
bee29	cycle_one	control	cage2	0
bee30	cycle_one	control	cage2	0
bee31	cycle_one	control	cage3	1
bee32	cycle_one	control	cage3	1
bee33	cycle_one	control	cage3	1
bee34	cycle_one	control	cage3	1
bee35	cycle_one	control	cage3	1
bee36	cycle_one	control	cage3	1
bee37	cycle_one	control	cage3	1
bee38	cycle_one	control	cage3	0
bee39	cycle_one	control	cage3	0
bee40	cycle_one	control	cage3	0
bee41	cycle_one	control	cage3	0
bee42	cycle_one	control	cage3	0
bee43	cycle_one	control	cage3	0
bee44	cycle_one	control	cage3	0
bee45	cycle_one	control	cage3	0
bee46	cycle_one	control	cage4	1
bee47	cycle_one	control	cage4	1
bee48	cycle_one	control	cage4	1
bee49	cycle_one	control	cage4	1
bee50	cycle_one	control	cage4	1
bee51	cycle_one	control	cage4	1
bee52	cycle_one	control	cage4	1
bee53	cycle_one	control	cage4	1
bee54	cycle_one	control	cage4	1
bee55	cycle_one	control	cage4	1
bee56	cycle_one	control	cage4	0
