bee	group	cage	cage2	alive	experiment
bee1	control	cage1	control_cage1	1	three
bee2	control	cage1	control_cage1	1	three
bee3	control	cage1	control_cage1	1	three
bee4	control	cage1	control_cage1	1	three
bee5	control	cage1	control_cage1	1	three
bee6	control	cage1	control_cage1	0	three
bee7	control	cage1	control_cage1	0	three
bee8	control	cage1	control_cage1	0	three
bee9	control	cage1	control_cage1	0	three
bee10	control	cage1	control_cage1	0	three
bee11	control	cage1	control_cage1	0	three
bee12	control	cage1	control_cage1	0	three
bee13	control	cage1	control_cage1	0	three
bee14	control	cage1	control_cage1	0	three
bee15	control	cage2	control_cage2	1	three
bee16	control	cage2	control_cage2	1	three
bee17	control	cage2	control_cage2	1	three
bee18	control	cage2	control_cage2	0	three
bee19	control	cage2	control_cage2	0	three
bee20	control	cage3	control_cage3	0	three
bee21	control	cage3	control_cage3	0	three
bee22	control	cage3	control_cage3	0	three
bee23	control	cage3	control_cage3	0	three
bee24	control	cage3	control_cage3	0	three
bee25	control	cage3	control_cage3	0	three
bee26	control	cage3	control_cage3	0	three
bee27	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	three
bee28	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	three
bee29	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	three
bee30	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	three
bee31	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	three
bee32	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	three
bee33	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	three
bee34	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	three
bee35	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	three
bee36	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	three
bee37	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	three
bee38	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	three
bee39	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	three
bee40	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	three
bee41	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	three
bee42	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	three
