bee	group	cage	alive	experiment
bee1	control	cage1	1	five
bee2	control	cage1	1	five
bee3	control	cage1	1	five
bee4	control	cage1	1	five
bee5	control	cage1	1	five
bee6	control	cage1	1	five
bee7	control	cage1	1	five
bee8	control	cage1	1	five
bee9	control	cage1	0	five
bee10	control	cage1	0	five
bee11	control	cage1	0	five
bee12	control	cage1	0	five
bee13	control	cage1	0	five
bee14	control	cage1	0	five
bee15	control	cage1	0	five
bee16	control	cage2	1	five
bee17	control	cage2	1	five
bee18	control	cage2	1	five
bee19	control	cage2	0	five
bee20	control	cage2	0	five
bee21	control	cage2	0	five
bee22	control	cage2	0	five
bee23	control	cage2	0	five
bee24	control	cage2	0	five
bee25	control	cage2	0	five
bee26	control	cage2	0	five
bee27	control	cage2	0	five
bee28	control	cage2	0	five
bee29	control	cage2	0	five
bee30	control	cage2	0	five
bee31	control	cage2	0	five
bee32	control	cage2	0	five
bee33	control	cage3	1	five
bee34	control	cage3	1	five
bee35	control	cage3	1	five
bee36	control	cage3	1	five
bee37	control	cage3	1	five
bee38	control	cage3	0	five
bee39	control	cage3	0	five
bee40	control	cage3	0	five
bee41	control	cage3	0	five
bee42	control	cage3	0	five
bee43	control	cage3	0	five
bee44	control	cage3	0	five
bee45	control	cage3	0	five
bee46	control	cage3	0	five
bee47	control	cage3	0	five
bee48	control	cage3	0	five
bee49	control	cage3	0	five
bee50	control	cage3	0	five
bee51	control	cage4	1	five
bee52	control	cage4	1	five
bee53	control	cage4	1	five
bee54	control	cage4	0	five
bee55	control	cage4	0	five
bee56	control	cage4	0	five
bee57	control	cage4	0	five
bee58	control	cage4	0	five
bee59	control	cage4	0	five
bee60	control	cage4	0	five
bee61	control	cage4	0	five
bee62	control	cage4	0	five
bee63	control	cage4	0	five
bee64	control	cage4	0	five
bee65	control	cage5	1	five
bee66	control	cage5	1	five
bee67	control	cage5	0	five
bee68	control	cage5	0	five
bee69	control	cage5	0	five
bee70	control	cage5	0	five
bee71	control	cage5	0	five
bee72	control	cage5	0	five
bee73	control	cage5	0	five
bee74	control	cage5	0	five
bee75	control	cage5	0	five
bee76	exposed	cage1	1	five
bee77	exposed	cage1	0	five
bee78	exposed	cage1	0	five
bee79	exposed	cage1	0	five
bee80	exposed	cage1	0	five
bee81	exposed	cage1	0	five
bee82	exposed	cage1	0	five
bee83	exposed	cage1	0	five
bee84	exposed	cage1	0	five
bee85	exposed	cage1	0	five
bee86	exposed	cage1	0	five
bee87	exposed	cage2	1	five
bee88	exposed	cage2	1	five
bee89	exposed	cage2	1	five
bee90	exposed	cage2	1	five
bee91	exposed	cage2	1	five
bee92	exposed	cage2	1	five
bee93	exposed	cage2	1	five
bee94	exposed	cage2	1	five
bee95	exposed	cage2	1	five
bee96	exposed	cage2	1	five
bee97	exposed	cage2	1	five
bee98	exposed	cage2	1	five
bee99	exposed	cage2	1	five
bee100	exposed	cage2	1	five
bee101	exposed	cage2	0	five
bee102	exposed	cage2	0	five
bee103	exposed	cage3	1	five
bee104	exposed	cage3	1	five
bee105	exposed	cage3	1	five
bee106	exposed	cage3	0	five
bee107	exposed	cage3	0	five
bee108	exposed	cage3	0	five
bee109	exposed	cage3	0	five
bee110	exposed	cage3	0	five
bee111	exposed	cage3	0	five
bee112	exposed	cage3	0	five
bee113	exposed	cage3	0	five
bee114	exposed	cage3	0	five
bee115	exposed	cage3	0	five
bee116	exposed	cage4	1	five
bee117	exposed	cage4	1	five
bee118	exposed	cage4	1	five
bee119	exposed	cage4	1	five
bee120	exposed	cage4	0	five
bee121	exposed	cage4	0	five
bee122	exposed	cage4	0	five
bee123	exposed	cage4	0	five
bee124	exposed	cage4	0	five
bee125	exposed	cage4	0	five
bee126	exposed	cage4	0	five
bee127	exposed	cage4	0	five
bee128	exposed	cage4	0	five
bee129	exposed	cage5	1	five
bee130	exposed	cage5	1	five
bee131	exposed	cage5	1	five
bee132	exposed	cage5	1	five
bee133	exposed	cage5	1	five
bee134	exposed	cage5	1	five
bee135	exposed	cage5	1	five
bee136	exposed	cage5	1	five
bee137	exposed	cage5	1	five
bee138	exposed	cage5	0	five
bee139	exposed	cage5	0	five
bee140	exposed	cage5	0	five
bee141	exposed	cage5	0	five
bee142	exposed	cage5	0	five
bee143	control	cage1	1	six
bee144	control	cage1	1	six
bee145	control	cage1	1	six
bee146	control	cage1	1	six
bee147	control	cage1	1	six
bee148	control	cage1	1	six
bee149	control	cage1	1	six
bee150	control	cage1	1	six
bee151	control	cage1	1	six
bee152	control	cage1	0	six
bee153	control	cage1	0	six
bee154	control	cage1	0	six
bee155	control	cage1	0	six
bee156	control	cage1	0	six
bee157	control	cage1	0	six
bee158	control	cage1	0	six
bee159	control	cage1	0	six
bee160	control	cage1	0	six
bee161	control	cage1	0	six
bee162	control	cage1	0	six
bee163	control	cage1	0	six
bee164	control	cage1	0	six
bee165	control	cage1	0	six
bee166	control	cage1	0	six
bee167	control	cage1	0	six
bee168	control	cage1	0	six
bee169	control	cage2	1	six
bee170	control	cage2	1	six
bee171	control	cage2	1	six
bee172	control	cage2	1	six
bee173	control	cage2	1	six
bee174	control	cage2	1	six
bee175	control	cage2	1	six
bee176	control	cage2	1	six
bee177	control	cage2	1	six
bee178	control	cage2	1	six
bee179	control	cage2	1	six
bee180	control	cage2	0	six
bee181	control	cage2	0	six
bee182	control	cage2	0	six
bee183	control	cage3	1	six
bee184	control	cage3	0	six
bee185	control	cage3	0	six
bee186	control	cage3	0	six
bee187	control	cage3	0	six
bee188	control	cage3	0	six
bee189	control	cage3	0	six
bee190	control	cage3	0	six
bee191	control	cage3	0	six
bee192	control	cage3	0	six
bee193	control	cage3	0	six
bee194	control	cage3	0	six
bee195	control	cage3	0	six
bee196	control	cage3	0	six
bee197	control	cage3	0	six
bee198	control	cage3	0	six
bee199	control	cage4	1	six
bee200	control	cage4	0	six
bee201	control	cage4	0	six
bee202	control	cage4	0	six
bee203	control	cage4	0	six
bee204	control	cage4	0	six
bee205	control	cage4	0	six
bee206	control	cage4	0	six
bee207	control	cage4	0	six
bee208	control	cage4	0	six
bee209	control	cage4	0	six
bee210	control	cage4	0	six
bee211	control	cage4	0	six
bee212	control	cage5	1	six
bee213	control	cage5	1	six
bee214	control	cage5	1	six
bee215	control	cage5	1	six
bee216	control	cage5	1	six
