bee	group	cage	cage2	alive
bee1	control	cage1	control_cage1	1
bee2	control	cage1	control_cage1	1
bee3	control	cage1	control_cage1	1
bee4	control	cage1	control_cage1	1
bee5	control	cage1	control_cage1	1
bee6	control	cage1	control_cage1	1
bee7	control	cage1	control_cage1	1
bee8	control	cage1	control_cage1	1
bee9	control	cage1	control_cage1	1
bee10	control	cage1	control_cage1	1
bee11	control	cage1	control_cage1	0
bee12	control	cage1	control_cage1	0
bee13	control	cage1	control_cage1	0
bee14	control	cage1	control_cage1	0
bee15	control	cage1	control_cage1	0
bee16	control	cage1	control_cage1	0
bee17	control	cage2	control_cage2	1
bee18	control	cage2	control_cage2	1
bee19	control	cage2	control_cage2	1
bee20	control	cage2	control_cage2	1
bee21	control	cage2	control_cage2	1
bee22	control	cage2	control_cage2	1
bee23	control	cage2	control_cage2	1
bee24	control	cage2	control_cage2	1
bee25	control	cage2	control_cage2	1
bee26	control	cage2	control_cage2	1
bee33	control	cage2	control_cage2	1
bee34	control	cage2	control_cage2	1
bee35	control	cage2	control_cage2	1
bee36	control	cage2	control_cage2	1
bee37	control	cage2	control_cage2	0
bee38	control	cage2	control_cage2	0
bee39	control	cage2	control_cage2	0
bee40	control	cage2	control_cage2	0
bee51	control	cage2	control_cage2	0
bee52	control	cage2	control_cage2	0
bee53	control	cage3	control_cage3	1
bee54	control	cage3	control_cage3	1
bee55	control	cage3	control_cage3	1
bee56	control	cage3	control_cage3	1
bee57	control	cage3	control_cage3	1
bee58	control	cage3	control_cage3	1
bee59	control	cage3	control_cage3	1
bee60	control	cage3	control_cage3	1
bee61	control	cage3	control_cage3	1
bee62	control	cage3	control_cage3	1
bee63	control	cage3	control_cage3	1
bee64	control	cage3	control_cage3	1
bee65	control	cage3	control_cage3	1
bee66	control	cage3	control_cage3	0
bee67	control	cage3	control_cage3	0
bee68	control	cage3	control_cage3	0
bee65	control	cage3	control_cage3	0
bee66	control	cage3	control_cage3	0
bee72	control	cage3	control_cage3	0
bee73	control	cage3	control_cage3	0
bee74	control	cage3	control_cage3	0
bee75	control	cage4	control_cage4	1
bee76	control	cage4	control_cage4	1
bee77	control	cage4	control_cage4	1
bee78	control	cage4	control_cage4	1
bee79	control	cage4	control_cage4	1
bee80	control	cage4	control_cage4	1
bee81	control	cage4	control_cage4	1
bee81	control	cage4	control_cage4	1
bee86	control	cage4	control_cage4	1
bee87	control	cage4	control_cage4	1
bee88	control	cage4	control_cage4	1
bee89	control	cage4	control_cage4	1
bee90	control	cage4	control_cage4	1
bee91	control	cage4	control_cage4	0
bee92	control	cage4	control_cage4	0
bee93	control	cage4	control_cage4	0
bee94	control	cage4	control_cage4	0
bee96	control	cage4	control_cage4	0
bee97	control	cage4	control_cage4	0
