bee	treatment	group	cage	alive
bee1	chlorothalonil	control	cage1	1
bee2	chlorothalonil	control	cage1	1
bee3	chlorothalonil	control	cage1	1
bee4	chlorothalonil	control	cage1	1
bee5	chlorothalonil	control	cage1	1
bee6	chlorothalonil	control	cage1	1
bee7	chlorothalonil	control	cage1	0
bee8	chlorothalonil	control	cage1	0
bee9	chlorothalonil	control	cage1	0
bee10	chlorothalonil	control	cage1	0
bee11	chlorothalonil	control	cage1	0
bee12	chlorothalonil	control	cage1	0
bee13	chlorothalonil	control	cage1	0
bee14	chlorothalonil	control	cage1	0
bee15	chlorothalonil	control	cage1	0
bee16	chlorothalonil	control	cage2	1
bee17	chlorothalonil	control	cage2	1
bee18	chlorothalonil	control	cage2	1
bee19	chlorothalonil	control	cage2	0
bee20	chlorothalonil	control	cage2	0
bee21	chlorothalonil	control	cage2	0
bee22	chlorothalonil	control	cage2	0
bee23	chlorothalonil	control	cage2	0
bee24	chlorothalonil	control	cage2	0
bee25	chlorothalonil	control	cage2	0
bee26	chlorothalonil	control	cage2	0
bee33	chlorothalonil	control	cage3	0
bee34	chlorothalonil	control	cage3	0
bee35	chlorothalonil	control	cage3	0
bee36	chlorothalonil	control	cage3	0
bee37	chlorothalonil	control	cage3	0
bee38	chlorothalonil	control	cage3	0
bee39	chlorothalonil	control	cage3	0
bee40	chlorothalonil	control	cage3	0
bee51	chlorothalonil	control	cage4	1
bee52	chlorothalonil	control	cage4	1
bee53	chlorothalonil	control	cage4	1
bee54	chlorothalonil	control	cage4	1
bee55	chlorothalonil	control	cage4	0
bee56	chlorothalonil	control	cage4	0
bee57	chlorothalonil	control	cage4	0
bee58	chlorothalonil	control	cage4	0
bee59	chlorothalonil	control	cage4	0
bee60	chlorothalonil	control	cage4	0
bee61	chlorothalonil	control	cage4	0
bee62	chlorothalonil	control	cage4	0
bee63	chlorothalonil	control	cage4	0
bee64	chlorothalonil	control	cage4	0
bee65	chlorothalonil	control	cage4	0
bee66	chlorothalonil	control	cage4	0
bee67	chlorothalonil	control	cage4	0
bee68	chlorothalonil	control	cage4	0
bee65	chlorothalonil	control	cage5	1
bee66	chlorothalonil	control	cage5	0
bee72	chlorothalonil	control	cage5	0
bee73	chlorothalonil	control	cage5	0
bee74	chlorothalonil	control	cage5	0
bee75	chlorothalonil	control	cage5	0
bee76	chlorothalonil	control	cage5	0
bee77	chlorothalonil	control	cage5	0
bee78	chlorothalonil	control	cage5	0
bee79	chlorothalonil	control	cage5	0
bee80	chlorothalonil	control	cage5	0
bee81	chlorothalonil	control	cage5	0
bee81	chlorothalonil	exposed	cage1	1
bee86	chlorothalonil	exposed	cage1	1
bee87	chlorothalonil	exposed	cage1	1
bee88	chlorothalonil	exposed	cage1	1
bee89	chlorothalonil	exposed	cage1	1
bee90	chlorothalonil	exposed	cage1	1
bee91	chlorothalonil	exposed	cage1	1
bee92	chlorothalonil	exposed	cage1	0
bee93	chlorothalonil	exposed	cage1	0
bee94	chlorothalonil	exposed	cage1	0
bee96	chlorothalonil	exposed	cage2	1
bee97	chlorothalonil	exposed	cage2	1
bee98	chlorothalonil	exposed	cage2	1
bee99	chlorothalonil	exposed	cage2	0
bee100	chlorothalonil	exposed	cage2	0
bee101	chlorothalonil	exposed	cage2	0
bee102	chlorothalonil	exposed	cage2	0
bee103	chlorothalonil	exposed	cage2	0
bee104	chlorothalonil	exposed	cage2	0
bee105	chlorothalonil	exposed	cage2	0
bee106	chlorothalonil	exposed	cage2	0
bee112	chlorothalonil	exposed	cage3	1
bee113	chlorothalonil	exposed	cage3	1
bee114	chlorothalonil	exposed	cage3	1
bee115	chlorothalonil	exposed	cage3	1
bee116	chlorothalonil	exposed	cage3	1
bee117	chlorothalonil	exposed	cage3	1
bee118	chlorothalonil	exposed	cage3	0
bee118	chlorothalonil	exposed	cage3	0
bee119	chlorothalonil	exposed	cage3	0
bee120	chlorothalonil	exposed	cage3	0
bee121	chlorothalonil	exposed	cage3	0
bee125	chlorothalonil	exposed	cage4	1
bee126	chlorothalonil	exposed	cage4	1
bee127	chlorothalonil	exposed	cage4	1
bee128	chlorothalonil	exposed	cage4	1
bee131	chlorothalonil	exposed	cage4	1
bee132	chlorothalonil	exposed	cage4	0
bee133	chlorothalonil	exposed	cage4	0
bee134	chlorothalonil	exposed	cage4	0
bee135	chlorothalonil	exposed	cage4	0
bee136	chlorothalonil	exposed	cage4	0
bee137	chlorothalonil	exposed	cage4	0
bee138	chlorothalonil	exposed	cage4	0
bee139	chlorothalonil	exposed	cage4	0
bee140	chlorothalonil	exposed	cage4	0
bee141	chlorothalonil	exposed	cage4	0
bee142	chlorothalonil	exposed	cage4	0
bee143	chlorothalonil	exposed	cage4	0
bee144	chlorothalonil	exposed	cage4	0
bee140	chlorothalonil	exposed	cage5	1
bee141	chlorothalonil	exposed	cage5	1
bee142	chlorothalonil	exposed	cage5	1
bee143	chlorothalonil	exposed	cage5	1
bee144	chlorothalonil	exposed	cage5	1
bee145	chlorothalonil	exposed	cage5	1
bee146	chlorothalonil	exposed	cage5	0
bee147	chlorothalonil	exposed	cage5	0
bee148	chlorothalonil	exposed	cage5	0
bee149	chlorothalonil	exposed	cage5	0
